Wavelength,Region0,Region1,Region2,Region3

1000.37,0.47993,0.376325,0.376385,0.407648
1001.01,0.493662,0.381763,0.399844,0.400551
1001.65,0.476807,0.381601,0.427148,0.39472
381.149,0.324111,0.294689,0.311864,0.349374
381.788,0.33566,0.320065,0.356999,0.350055
382.427,0.336336,0.302051,0.40517,0.362065
383.066,0.311783,0.310924,0.314881,0.31173
383.705,0.353467,0.361055,0.343424,0.335714
384.344,0.34454,0.35153,0.327,0.334191
384.983,0.320946,0.292239,0.37247,0.393625
385.622,0.339812,0.358176,0.361889,0.363795
386.261,0.332961,0.361172,0.356875,0.341197
386.9,0.393186,0.38985,0.403072,0.352376
387.539,0.377086,0.365114,0.342548,0.393732
388.178,0.348183,0.339596,0.332423,0.356616
388.817,0.3841,0.37424,0.369333,0.403849
389.456,0.341203,0.380681,0.377813,0.393622
390.095,0.377264,0.371352,0.431491,0.381271
390.734,0.346234,0.404827,0.441363,0.389179
391.373,0.308776,0.387921,0.439927,0.392061
392.012,0.363748,0.407061,0.400484,0.401033
392.651,0.396775,0.399888,0.462248,0.421726
393.29,0.336715,0.373036,0.44,0.442702
393.929,0.289512,0.404839,0.486675,0.453668
394.569,0.325603,0.402477,0.41981,0.460073
395.208,0.330502,0.436137,0.447792,0.397899
395.847,0.298576,0.353346,0.435561,0.402941
396.486,0.242446,0.411891,0.429528,0.440372
397.125,0.279341,0.375713,0.441354,0.423568
397.764,0.288049,0.385634,0.472131,0.435393
398.403,0.30129,0.32713,0.489383,0.428975
399.042,0.295476,0.36137,0.433694,0.375281
399.681,0.271292,0.382015,0.347615,0.390457
400.32,0.262092,0.383323,0.429524,0.44401
400.959,0.248466,0.384432,0.488213,0.476208
401.598,0.213568,0.311377,0.419682,0.41636
402.237,0.258473,0.3712,0.407936,0.412442
402.876,0.277063,0.367889,0.360166,0.404887
403.515,0.291474,0.396243,0.440684,0.495888
404.154,0.249934,0.363789,0.399667,0.412659
404.793,0.276354,0.370483,0.443878,0.388629
405.432,0.256901,0.305939,0.426991,0.406254
406.071,0.245463,0.358724,0.417225,0.350057
406.71,0.235471,0.324062,0.459193,0.408858
407.349,0.28367,0.384764,0.39054,0.423134
407.988,0.23729,0.28703,0.378128,0.423602
408.627,0.265058,0.277192,0.334048,0.368897
409.266,0.226259,0.291616,0.356383,0.392414
409.905,0.232388,0.344113,0.395658,0.408862
410.544,0.213673,0.281069,0.394507,0.356217
411.183,0.2144,0.340841,0.431569,0.373181
411.822,0.203781,0.305283,0.414757,0.419609
412.461,0.205405,0.301739,0.378828,0.393507
413.1,0.189144,0.35955,0.359686,0.34608
413.739,0.178388,0.298144,0.38149,0.386509
414.378,0.201916,0.321619,0.4127,0.349654
415.018,0.195642,0.332153,0.350807,0.39787
415.657,0.20345,0.303968,0.35452,0.374451
